"id","zipcode","facility_name","facility_code"
"dhl_facility_49560",49560,"ZAMORA",49
"dhl_facility_49561",49561,"ZAMORA",49
"dhl_facility_49562",49562,"ZAMORA",49
"dhl_facility_49563",49563,"ZAMORA",49
"dhl_facility_49564",49564,"ZAMORA",49
"dhl_facility_49570",49570,"ZAMORA",49
"dhl_facility_49571",49571,"ZAMORA",49
"dhl_facility_49572",49572,"ZAMORA",49
"dhl_facility_49573",49573,"ZAMORA",49
"dhl_facility_49574",49574,"ZAMORA",49
"dhl_facility_49580",49580,"ZAMORA",49
"dhl_facility_49581",49581,"ZAMORA",49
"dhl_facility_49582",49582,"ZAMORA",49
"dhl_facility_49583",49583,"ZAMORA",49
"dhl_facility_49590",49590,"ZAMORA",49
"dhl_facility_49591",49591,"ZAMORA",49
"dhl_facility_49592",49592,"ZAMORA",49
"dhl_facility_49593",49593,"ZAMORA",49
"dhl_facility_49594",49594,"ZAMORA",49
"dhl_facility_49600",49600,"ZAMORA",49
"dhl_facility_49610",49610,"ZAMORA",49
"dhl_facility_49618",49618,"ZAMORA",49
"dhl_facility_49619",49619,"ZAMORA",49
"dhl_facility_49620",49620,"ZAMORA",49
"dhl_facility_49621",49621,"ZAMORA",49
"dhl_facility_49622",49622,"ZAMORA",49
"dhl_facility_49623",49623,"ZAMORA",49
"dhl_facility_49624",49624,"ZAMORA",49
"dhl_facility_49625",49625,"ZAMORA",49
"dhl_facility_49626",49626,"ZAMORA",49
"dhl_facility_49627",49627,"ZAMORA",49
"dhl_facility_49628",49628,"ZAMORA",49
"dhl_facility_49629",49629,"ZAMORA",49
"dhl_facility_49630",49630,"ZAMORA",49
"dhl_facility_49638",49638,"ZAMORA",49
"dhl_facility_49639",49639,"ZAMORA",49
"dhl_facility_49640",49640,"ZAMORA",49
"dhl_facility_49650",49650,"ZAMORA",49
"dhl_facility_49660",49660,"ZAMORA",49
"dhl_facility_49670",49670,"ZAMORA",49
"dhl_facility_49680",49680,"ZAMORA",49
"dhl_facility_49690",49690,"ZAMORA",49
"dhl_facility_49691",49691,"ZAMORA",49
"dhl_facility_49692",49692,"ZAMORA",49
"dhl_facility_49693",49693,"ZAMORA",49
"dhl_facility_49694",49694,"ZAMORA",49
"dhl_facility_49695",49695,"ZAMORA",49
"dhl_facility_49696",49696,"ZAMORA",49
"dhl_facility_49697",49697,"ZAMORA",49
"dhl_facility_49698",49698,"ZAMORA",49
"dhl_facility_49699",49699,"ZAMORA",49
"dhl_facility_49700",49700,"ZAMORA",49
"dhl_facility_49706",49706,"ZAMORA",49
"dhl_facility_49707",49707,"ZAMORA",49
"dhl_facility_49708",49708,"ZAMORA",49
"dhl_facility_49709",49709,"ZAMORA",49
"dhl_facility_49710",49710,"ZAMORA",49
"dhl_facility_49714",49714,"ZAMORA",49
"dhl_facility_49715",49715,"ZAMORA",49
"dhl_facility_49716",49716,"ZAMORA",49
"dhl_facility_49717",49717,"ZAMORA",49
"dhl_facility_49718",49718,"ZAMORA",49
"dhl_facility_49719",49719,"ZAMORA",49
"dhl_facility_49720",49720,"ZAMORA",49
"dhl_facility_49721",49721,"ZAMORA",49
"dhl_facility_49722",49722,"ZAMORA",49
"dhl_facility_49730",49730,"ZAMORA",49
"dhl_facility_49731",49731,"ZAMORA",49
"dhl_facility_49740",49740,"ZAMORA",49
"dhl_facility_49741",49741,"ZAMORA",49
"dhl_facility_49742",49742,"ZAMORA",49
"dhl_facility_49743",49743,"ZAMORA",49
"dhl_facility_49750",49750,"ZAMORA",49
"dhl_facility_49751",49751,"ZAMORA",49
"dhl_facility_49760",49760,"ZAMORA",49
"dhl_facility_49770",49770,"ZAMORA",49
"dhl_facility_49780",49780,"ZAMORA",49
"dhl_facility_49781",49781,"ZAMORA",49
"dhl_facility_49782",49782,"ZAMORA",49
"dhl_facility_49783",49783,"ZAMORA",49
"dhl_facility_49800",49800,"ZAMORA",49
"dhl_facility_49810",49810,"ZAMORA",49
"dhl_facility_49820",49820,"ZAMORA",49
"dhl_facility_49830",49830,"ZAMORA",49
"dhl_facility_49831",49831,"ZAMORA",49
"dhl_facility_49832",49832,"ZAMORA",49
"dhl_facility_49833",49833,"ZAMORA",49
"dhl_facility_49834",49834,"ZAMORA",49
"dhl_facility_49835",49835,"ZAMORA",49
"dhl_facility_49836",49836,"ZAMORA",49
"dhl_facility_49840",49840,"ZAMORA",49
"dhl_facility_49850",49850,"ZAMORA",49
"dhl_facility_49860",49860,"ZAMORA",49
"dhl_facility_49870",49870,"ZAMORA",49
"dhl_facility_49871",49871,"ZAMORA",49
"dhl_facility_49880",49880,"ZAMORA",49
"dhl_facility_49881",49881,"ZAMORA",49
"dhl_facility_49882",49882,"ZAMORA",49
"dhl_facility_50001",50001,"ZARAGOZA",50
"dhl_facility_50002",50002,"ZARAGOZA",50
"dhl_facility_50003",50003,"ZARAGOZA",50
"dhl_facility_50004",50004,"ZARAGOZA",50
"dhl_facility_50005",50005,"ZARAGOZA",50
"dhl_facility_50006",50006,"ZARAGOZA",50
"dhl_facility_50007",50007,"ZARAGOZA",50
"dhl_facility_50008",50008,"ZARAGOZA",50
"dhl_facility_50009",50009,"ZARAGOZA",50
"dhl_facility_50010",50010,"ZARAGOZA",50
"dhl_facility_50011",50011,"ZARAGOZA",50
"dhl_facility_50012",50012,"ZARAGOZA",50
"dhl_facility_50013",50013,"ZARAGOZA",50
"dhl_facility_50014",50014,"ZARAGOZA",50
"dhl_facility_50015",50015,"ZARAGOZA",50
"dhl_facility_50016",50016,"ZARAGOZA",50
"dhl_facility_50017",50017,"ZARAGOZA",50
"dhl_facility_50018",50018,"ZARAGOZA",50
"dhl_facility_50020",50020,"ZARAGOZA",50
"dhl_facility_50057",50057,"ZARAGOZA",50
"dhl_facility_50058",50058,"ZARAGOZA",50
"dhl_facility_50059",50059,"ZARAGOZA",50
"dhl_facility_50080",50080,"ZARAGOZA",50
"dhl_facility_50090",50090,"ZARAGOZA",50
"dhl_facility_50100",50100,"ZARAGOZA",50
"dhl_facility_50108",50108,"ZARAGOZA",50
"dhl_facility_50109",50109,"ZARAGOZA",50
"dhl_facility_50110",50110,"ZARAGOZA",50
"dhl_facility_50120",50120,"ZARAGOZA",50
"dhl_facility_50130",50130,"ZARAGOZA",50
"dhl_facility_50131",50131,"ZARAGOZA",50
"dhl_facility_50132",50132,"ZARAGOZA",50
"dhl_facility_50133",50133,"ZARAGOZA",50
"dhl_facility_50134",50134,"ZARAGOZA",50
"dhl_facility_50135",50135,"ZARAGOZA",50
"dhl_facility_50136",50136,"ZARAGOZA",50
"dhl_facility_50137",50137,"ZARAGOZA",50
"dhl_facility_50138",50138,"ZARAGOZA",50
"dhl_facility_50139",50139,"ZARAGOZA",50
"dhl_facility_50140",50140,"ZARAGOZA",50
"dhl_facility_50141",50141,"ZARAGOZA",50
"dhl_facility_50142",50142,"ZARAGOZA",50
"dhl_facility_50143",50143,"ZARAGOZA",50
"dhl_facility_50144",50144,"ZARAGOZA",50
"dhl_facility_50150",50150,"ZARAGOZA",50
"dhl_facility_50151",50151,"ZARAGOZA",50
"dhl_facility_50152",50152,"ZARAGOZA",50
"dhl_facility_50153",50153,"ZARAGOZA",50
"dhl_facility_50154",50154,"ZARAGOZA",50
"dhl_facility_50155",50155,"ZARAGOZA",50
"dhl_facility_50156",50156,"ZARAGOZA",50
"dhl_facility_50160",50160,"ZARAGOZA",50
"dhl_facility_50161",50161,"ZARAGOZA",50
"dhl_facility_50162",50162,"ZARAGOZA",50
"dhl_facility_50163",50163,"ZARAGOZA",50
"dhl_facility_50164",50164,"ZARAGOZA",50
"dhl_facility_50170",50170,"ZARAGOZA",50
"dhl_facility_50171",50171,"ZARAGOZA",50
"dhl_facility_50172",50172,"ZARAGOZA",50
"dhl_facility_50173",50173,"ZARAGOZA",50
"dhl_facility_50174",50174,"ZARAGOZA",50
"dhl_facility_50175",50175,"ZARAGOZA",50
"dhl_facility_50176",50176,"ZARAGOZA",50
"dhl_facility_50177",50177,"ZARAGOZA",50
"dhl_facility_50178",50178,"ZARAGOZA",50
"dhl_facility_50180",50180,"ZARAGOZA",50
"dhl_facility_50190",50190,"ZARAGOZA",50
"dhl_facility_50191",50191,"ZARAGOZA",50
"dhl_facility_50192",50192,"ZARAGOZA",50
"dhl_facility_50193",50193,"ZARAGOZA",50
"dhl_facility_50194",50194,"ZARAGOZA",50
"dhl_facility_50195",50195,"ZARAGOZA",50
"dhl_facility_50196",50196,"ZARAGOZA",50
"dhl_facility_50197",50197,"ZARAGOZA",50
"dhl_facility_50200",50200,"ZARAGOZA",50
"dhl_facility_50210",50210,"ZARAGOZA",50
"dhl_facility_50211",50211,"ZARAGOZA",50
"dhl_facility_50212",50212,"ZARAGOZA",50
"dhl_facility_50213",50213,"ZARAGOZA",50
"dhl_facility_50214",50214,"ZARAGOZA",50
"dhl_facility_50215",50215,"ZARAGOZA",50
"dhl_facility_50216",50216,"ZARAGOZA",50
